,Rk,Name,GP,G,A,P,PIM,+/-,TOI,PPG,GWG,PPP,G/GP,A/GP,P/GP,SHOTS,HITS,BS,Year,SH%
201,75,Jonathan Marchessault,82,25,34,59,52,2,18.13,5,6,16,0.305,0.415,0.72,278,98,22,2018,0.09
202,104,Jonathan Toews,74,20,32,52,47,-1,19.68,2,2,12,0.27,0.432,0.703,211,32,24,2017,0.095
203,27,Jonathan Toews,82,35,46,81,40,2,21.0,9,5,23,0.427,0.561,0.988,235,42,44,2018,0.149
204,191,Joonas Donskoi,80,14,23,37,10,10,13.42,1,4,3,0.175,0.288,0.463,115,36,36,2018,0.122
205,242,Joonas Donskoi,66,14,18,32,26,10,14.97,1,2,5,0.212,0.273,0.485,129,28,28,2017,0.109
206,77,Jordan Eberle,81,25,34,59,21,5,16.07,3,7,10,0.309,0.42,0.728,183,46,30,2017,0.137
207,187,Jordan Eberle,78,19,18,37,17,-6,16.52,7,5,12,0.244,0.231,0.474,160,36,35,2018,0.119
208,141,Jordan Staal,79,19,27,46,26,-4,19.23,4,2,12,0.241,0.342,0.582,160,181,32,2017,0.119
209,281,Jordan Staal,50,11,17,28,26,6,18.28,0,1,2,0.22,0.34,0.56,121,122,18,2018,0.091
210,33,Joshua Bailey,76,18,53,71,17,-20,17.88,5,3,31,0.237,0.697,0.934,151,12,33,2017,0.119
211,85,Joshua Bailey,82,16,40,56,21,8,16.82,2,4,14,0.195,0.488,0.683,126,19,32,2018,0.127
212,111,Justin Williams,82,16,35,51,56,-9,16.58,2,2,12,0.195,0.427,0.622,198,79,42,2017,0.081
213,96,Justin Williams,82,23,30,53,44,-4,17.43,9,5,14,0.28,0.366,0.646,237,55,32,2018,0.097
214,68,Keith Yandle,82,9,53,62,50,-17,22.43,7,2,39,0.11,0.646,0.756,199,47,76,2018,0.045
215,89,Keith Yandle,82,8,48,56,35,7,24.48,1,1,18,0.098,0.585,0.683,179,26,101,2017,0.045
216,177,Kevin Fiala,83,13,26,39,36,-23,15.63,2,2,11,0.157,0.313,0.47,174,42,20,2018,0.075
217,126,Kevin Fiala,80,23,25,48,26,20,15.13,4,4,13,0.288,0.313,0.6,187,34,27,2017,0.123
218,87,Kevin Hayes,71,19,36,55,12,-2,18.27,3,2,11,0.268,0.507,0.775,156,58,15,2018,0.122
219,149,Kevin Hayes,76,25,19,44,18,1,17.35,6,4,8,0.329,0.25,0.579,172,40,36,2017,0.145
220,83,Kevin Labanc,82,17,39,56,36,-1,14.02,2,4,20,0.207,0.476,0.683,130,66,16,2018,0.131
221,179,Kevin Labanc,77,11,29,40,32,-6,14.33,4,3,17,0.143,0.377,0.519,156,31,23,2017,0.071
222,84,Kristopher Letang,65,16,40,56,48,13,25.95,2,3,19,0.246,0.615,0.862,206,116,111,2018,0.078
223,112,Kristopher Letang,79,9,42,51,56,-9,25.32,4,1,20,0.114,0.532,0.646,222,109,108,2017,0.041
224,82,Kyle Connor,76,31,26,57,16,8,16.9,7,7,11,0.408,0.342,0.75,192,18,26,2017,0.162
225,59,Kyle Connor,82,34,32,66,18,-7,19.25,11,5,19,0.415,0.39,0.805,227,9,21,2018,0.15
